date,corridor,avg_tone,article_volume_pct,conflict_keyword_volume_pct,source
2019-05-19,hormuz,-2.52707581227437,0.684931506849315,16.666666666666664,bigquery_historical
2019-05-20,hormuz,-6.09137055837563,0.684931506849315,16.666666666666664,bigquery_historical
2019-06-24,hormuz,-3.703220418602221,1.36986301369863,0.0,bigquery_historical
2019-07-10,hormuz,-3.09253638044382,1.36986301369863,0.0,bigquery_historical
2019-07-12,hormuz,-3.9451114922813,0.684931506849315,0.0,bigquery_historical
2019-07-21,hormuz,-4.64767616191904,0.684931506849315,24.000000000000004,bigquery_historical
2026-02-12,hormuz,-10.3404791929382,0.684931506849315,0.0,bigquery_historical
2026-02-17,hormuz,0.3787738926017547,2.054794520547945,36.00000000000001,bigquery_historical
2026-02-20,hormuz,0.1011236439151348,2.054794520547945,0.0,bigquery_historical
2026-02-23,hormuz,-0.405561993047509,0.684931506849315,0.0,bigquery_historical
2026-02-24,hormuz,-4.76190476190476,0.684931506849315,0.0,bigquery_historical
2026-02-26,hormuz,-1.23456790123457,0.684931506849315,0.0,bigquery_historical
2026-02-27,hormuz,-1.40845070422535,0.684931506849315,0.0,bigquery_historical
2026-02-28,hormuz,-3.92016207636114,2.054794520547945,16.666666666666664,bigquery_historical
2026-03-01,hormuz,-5.281050995306948,7.534246575342466,0.0,bigquery_historical
2026-03-02,hormuz,-5.066035396075005,4.794520547945205,0.0,bigquery_historical
2026-03-03,hormuz,-5.8849420440978655,1.36986301369863,0.0,bigquery_historical
2026-03-04,hormuz,-2.9009595674270643,3.4246575342465753,0.0,bigquery_historical
2026-03-05,hormuz,-4.441855189959347,2.054794520547945,0.0,bigquery_historical
2026-03-07,hormuz,-1.550693489940412,19.863013698630137,16.666666666666664,bigquery_historical
2026-03-08,hormuz,-2.134618396924668,12.32876712328767,83.33333333333334,bigquery_historical
2026-03-09,hormuz,-4.708304107518602,3.4246575342465753,0.0,bigquery_historical
2026-03-10,hormuz,-3.979847861329343,2.054794520547945,0.0,bigquery_historical
2026-03-11,hormuz,-4.571523322198858,2.73972602739726,0.0,bigquery_historical
2026-03-12,hormuz,-5.31047710916769,8.904109589041095,0.0,bigquery_historical
2026-03-13,hormuz,-4.910434750580115,1.36986301369863,0.0,bigquery_historical
2026-03-14,hormuz,-1.59574468085106,0.684931506849315,0.0,bigquery_historical
2026-03-15,hormuz,-5.38589004493657,2.054794520547945,0.0,bigquery_historical
2026-03-16,hormuz,-4.091683124736718,2.73972602739726,28.666666666666668,bigquery_historical
2026-03-17,hormuz,-3.543405916249548,2.73972602739726,0.0,bigquery_historical
2026-03-18,hormuz,-3.566361245212573,2.054794520547945,36.00000000000001,bigquery_historical
2026-03-19,hormuz,-5.547900996921007,2.73972602739726,0.0,bigquery_historical
2026-03-20,hormuz,-5.76648127062832,8.904109589041095,0.0,bigquery_historical
2026-03-21,hormuz,-6.15866388308977,1.36986301369863,0.0,bigquery_historical
2026-03-22,hormuz,-1.3262599469496,0.684931506849315,0.0,bigquery_historical
2026-03-23,hormuz,-6.954904111750392,29.45205479452055,0.0,bigquery_historical
2026-03-24,hormuz,-0.2985270985270991,4.10958904109589,0.0,bigquery_historical
2026-03-25,hormuz,-4.905488233272909,18.493150684931507,0.0,bigquery_historical
2026-03-26,hormuz,-3.3683677622517734,2.054794520547945,0.0,bigquery_historical
2026-03-27,hormuz,-4.181633267711312,100.0,0.0,bigquery_historical
2026-03-28,hormuz,0.1137168213550076,6.164383561643835,0.0,bigquery_historical
2026-03-29,hormuz,-1.74793008279669,0.684931506849315,0.0,bigquery_historical
2026-03-30,hormuz,-1.964153250819357,5.47945205479452,0.0,bigquery_historical
2026-03-31,hormuz,-6.39286296647116,2.054794520547945,0.0,bigquery_historical
2026-04-01,hormuz,-1.70209240250085,1.36986301369863,0.0,bigquery_historical
